Timestamp: 2025-04-14 00:24:07
Intersection: roundabout
Total reward: -8330.00
Epsilon: 0.92
Simulation duration: 31.5s
Avg queue length: 2.34
Cumulative wait time: 12625.00
Fault injected: ❌ No
Total Emergency Delay: 5028.00

Action Distribution:
Action 0: 287 times
Action 1: 278 times
Action 2: 274 times
Action 3: 282 times

Q-Value Log Per Step:
Step 0 | Action: 1 (exploration)
Step 10 | Action: 3 (exploration)
Step 24 | Action: 1 (exploration)
Step 38 | Action: 0 (exploration)
Step 52 | Action: 1 (exploration)
Step 66 | Action: 1 (exploration)
Step 76 | Action: 0 (exploration)
Step 90 | Action: 1 (exploration)
Step 104 | Action: 1 (exploration)
Step 114 | Action: 0 (exploration)
Step 128 | Action: 1 (exploration)
Step 142 | Action: 0 (exploration)
Step 156 | Action: 1 (exploration)
Step 170 | Action: 1 (exploration)
Step 180 | Action: 0 (exploration)
Step 194 | Action: 2 (exploration)
Step 208 | Action: 1 (exploration)
Step 222 | Action: 3 (exploration)
Step 238 | Action: 3 (exploration)
Step 248 | Action: 1 (exploration)
Step 262 | Action: 3 (exploration)
Step 276 | Action: 2 (exploration)
Step 290 | Action: 2 (exploration)
Step 300 | Action: 3 (exploration)
Step 314 | Action: 0 (exploration)
Step 328 | Action: 1 (exploration)
Step 342 | Action: 2 (exploration)
Step 356 | Action: 3 (exploration)
Step 373 | Action: 0 (exploration)
Step 387 | Action: 2 (exploration)
Step 402 | Action: 0 (exploration)
Step 416 | Action: 3 (exploration)
Step 430 | Action: 1 (exploration)
Step 444 | Action: 2 (exploration)
Step 458 | Action: 2 (exploration)
Step 470 | Action: 2 (exploration)
Step 486 | Action: 1 (exploration)
Step 510 | Action: 2 (exploration)
Step 534 | Action: 1 (exploration)
Step 558 | Action: 1 (exploration)
Step 578 | Action: 3 (exploration)
Step 602 | Action: 2 (exploration)
Step 618 | Action: 0 (exploration)
Step 634 | Action: 0 (exploration)
Step 644 | Action: 2 (exploration)
Step 659 | Action: 0 (exploration)
Step 678 | Action: 3 (exploration)
Step 692 | Action: 3 (exploration)
Step 703 | Action: 3 (exploration)
Step 716 | Action: 0 (exploration)
Step 736 | Action: 1 (exploration)
Step 760 | Action: 3 (exploration)
Step 776 | Action: 3 (exploration)
Step 786 | Action: 3 (exploration)
Step 797 | Action: 3 (exploration)
Step 808 | Action: 2 (exploration)
Step 824 | Action: 3 (exploration)
Step 838 | Action: 1 (exploration)
Step 852 | Action: 0 (exploration)
Step 866 | Action: 1 (exploration)
Step 880 | Action: 3 (exploration)
Step 894 | Action: 1 (exploration)
Step 908 | Action: 2 (exploration)
Step 922 | Action: 2 (exploration)
Step 939 | Action: 1 (exploration)
Step 963 | Action: 1 (exploration)
Step 983 | Action: 0 (exploration)
Step 1007 | Action: 3 (exploration)
Step 1021 | Action: 0 (exploration)
Step 1036 | Action: 2 (exploration)
Step 1056 | Action: 2 (exploration)
Step 1071 | Action: 0 (exploration)
Step 1095 | Action: 0 (exploration)
Step 1106 | Action: 3 (exploration)
Step 1123 | Action: 0 (exploration)
Step 1139 | Action: 2 (exploration)
Step 1161 | Action: 3 (exploration)
Step 1178 | Action: 3 (exploration)
Step 1188 | Action: 3 (exploration)
Step 1198 | Action: 2 (exploration)
Step 1213 | Action: 1 (exploration)
Step 1228 | Action: 1 (exploration)
Step 1245 | Action: 2 (exploration)
Step 1269 | Action: 3 (exploration)
Step 1303 | Action: 2 (exploration)
Step 1319 | Action: 0 (exploration)
Step 1339 | Action: 0 (exploration)
Step 1350 | Action: 0 (exploration)
Step 1364 | Action: 1 (exploration)
Step 1388 | Action: 2 (exploration)
