[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Step 0] Agent 1 Action: 3, Reward: 0.0000
[Step 0] Agent 2 Action: 0, Reward: 0.0000
[Step 0] Agent 3 Action: 0, Reward: 0.0000
[Step 0] Adaptive green duration: 40
[InjectFault] TL 1: Fault injected. Phase 4 changed from rrrGGrrrrGGr to rrrGGrrrrGrr. Flipped indices: [10]
[Simulate] Step 1: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 2: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 3: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 4: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 5: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 6: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 7: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 8: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 9: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 10: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 11: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 12: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 13: Queue length 1, Waiting time 1.0, Emergency Delay: 0.0
[Simulate] Step 14: Queue length 1, Waiting time 2.0, Emergency Delay: 0.0
[Simulate] Step 15: Queue length 1, Waiting time 3.0, Emergency Delay: 0.0
[Simulate] Step 16: Queue length 3, Waiting time 6.0, Emergency Delay: 0.0
[Simulate] Step 17: Queue length 4, Waiting time 10.0, Emergency Delay: 0.0
[Simulate] Step 18: Queue length 4, Waiting time 14.0, Emergency Delay: 0.0
[Simulate] Step 19: Queue length 5, Waiting time 19.0, Emergency Delay: 0.0
[Simulate] Step 20: Queue length 5, Waiting time 24.0, Emergency Delay: 0.0
[Simulate] Step 21: Queue length 5, Waiting time 29.0, Emergency Delay: 0.0
[Simulate] Step 22: Queue length 5, Waiting time 34.0, Emergency Delay: 0.0
[Simulate] Step 23: Queue length 6, Waiting time 40.0, Emergency Delay: 0.0
[Simulate] Step 24: Queue length 6, Waiting time 46.0, Emergency Delay: 0.0
[Simulate] Step 25: Queue length 6, Waiting time 52.0, Emergency Delay: 0.0
[Simulate] Step 26: Queue length 6, Waiting time 58.0, Emergency Delay: 0.0
[Simulate] Step 27: Queue length 6, Waiting time 64.0, Emergency Delay: 0.0
[Simulate] Step 28: Queue length 6, Waiting time 70.0, Emergency Delay: 0.0
[Simulate] Step 29: Queue length 7, Waiting time 77.0, Emergency Delay: 0.0
[Simulate] Step 30: Queue length 8, Waiting time 85.0, Emergency Delay: 0.0
[Simulate] Step 31: Queue length 8, Waiting time 93.0, Emergency Delay: 0.0
[Simulate] Step 32: Queue length 9, Waiting time 102.0, Emergency Delay: 0.0
[Simulate] Step 33: Queue length 10, Waiting time 112.0, Emergency Delay: 0.0
[Simulate] Step 34: Queue length 11, Waiting time 123.0, Emergency Delay: 0.0
[Simulate] Step 35: Queue length 10, Waiting time 133.0, Emergency Delay: 0.0
[Simulate] Step 36: Queue length 11, Waiting time 144.0, Emergency Delay: 0.0
[Simulate] Step 37: Queue length 11, Waiting time 155.0, Emergency Delay: 0.0
[Simulate] Step 38: Queue length 11, Waiting time 166.0, Emergency Delay: 0.0
[Simulate] Step 39: Queue length 11, Waiting time 177.0, Emergency Delay: 0.0
[Simulate] Step 40: Queue length 11, Waiting time 188.0, Emergency Delay: 0.0
[Step 40] Agent 0 Action: 2, Reward: -0.2793
[Step 40] Agent 1 Action: 3, Reward: -0.1140
[Step 40] Agent 2 Action: 0, Reward: -0.1433
[Step 40] Agent 3 Action: 1, Reward: -0.1473
